location,forecast_date,quantile,horizon,target_type,model,prediction,true_value,availability,model_type,target_end_date,population,period_cat
CZ,2021-04-12,0.01,1,Cases,median_ensemble,12170,22369,1,ensemble,2021-04-17,10591323,1
CZ,2021-04-12,0.01,1,Deaths,median_ensemble,387,662,1,ensemble,2021-04-17,10591323,1
CZ,2021-04-12,0.01,2,Cases,median_ensemble,6606,17727,1,ensemble,2021-04-24,10591323,1
CZ,2021-04-12,0.01,2,Deaths,median_ensemble,267,524,1,ensemble,2021-04-24,10591323,1
CZ,2021-04-12,0.025,1,Cases,median_ensemble,13174,22369,1,ensemble,2021-04-17,10591323,1
CZ,2021-04-12,0.025,1,Deaths,median_ensemble,421,662,1,ensemble,2021-04-17,10591323,1
CZ,2021-04-12,0.025,2,Cases,median_ensemble,7920,17727,1,ensemble,2021-04-24,10591323,1
CZ,2021-04-12,0.025,2,Deaths,median_ensemble,296.5,524,1,ensemble,2021-04-24,10591323,1
CZ,2021-04-12,0.05,1,Cases,median_ensemble,14104,22369,1,ensemble,2021-04-17,10591323,1
CZ,2021-04-12,0.05,1,Deaths,median_ensemble,451.5,662,1,ensemble,2021-04-17,10591323,1
CZ,2021-04-12,0.05,2,Cases,median_ensemble,8636,17727,1,ensemble,2021-04-24,10591323,1
CZ,2021-04-12,0.05,2,Deaths,median_ensemble,324,524,1,ensemble,2021-04-24,10591323,1
CZ,2021-04-12,0.1,1,Cases,median_ensemble,15257,22369,1,ensemble,2021-04-17,10591323,1
CZ,2021-04-12,0.1,1,Deaths,median_ensemble,488.5,662,1,ensemble,2021-04-17,10591323,1
CZ,2021-04-12,0.1,2,Cases,median_ensemble,9614,17727,1,ensemble,2021-04-24,10591323,1
CZ,2021-04-12,0.1,2,Deaths,median_ensemble,356.5,524,1,ensemble,2021-04-24,10591323,1
CZ,2021-04-12,0.15,1,Cases,median_ensemble,16089,22369,1,ensemble,2021-04-17,10591323,1
CZ,2021-04-12,0.15,1,Deaths,median_ensemble,516.5,662,1,ensemble,2021-04-17,10591323,1
CZ,2021-04-12,0.15,2,Cases,median_ensemble,10576,17727,1,ensemble,2021-04-24,10591323,1
CZ,2021-04-12,0.15,2,Deaths,median_ensemble,384,524,1,ensemble,2021-04-24,10591323,1
CZ,2021-04-12,0.2,1,Cases,median_ensemble,17008,22369,1,ensemble,2021-04-17,10591323,1
CZ,2021-04-12,0.2,1,Deaths,median_ensemble,543.5,662,1,ensemble,2021-04-17,10591323,1
CZ,2021-04-12,0.2,2,Cases,median_ensemble,11428,17727,1,ensemble,2021-04-24,10591323,1
CZ,2021-04-12,0.2,2,Deaths,median_ensemble,410,524,1,ensemble,2021-04-24,10591323,1
CZ,2021-04-12,0.25,1,Cases,median_ensemble,18105,22369,1,ensemble,2021-04-17,10591323,1
CZ,2021-04-12,0.25,1,Deaths,median_ensemble,570.5,662,1,ensemble,2021-04-17,10591323,1
CZ,2021-04-12,0.25,2,Cases,median_ensemble,12217,17727,1,ensemble,2021-04-24,10591323,1
CZ,2021-04-12,0.25,2,Deaths,median_ensemble,433,524,1,ensemble,2021-04-24,10591323,1
CZ,2021-04-12,0.3,1,Cases,median_ensemble,18923,22369,1,ensemble,2021-04-17,10591323,1
CZ,2021-04-12,0.3,1,Deaths,median_ensemble,592,662,1,ensemble,2021-04-17,10591323,1
CZ,2021-04-12,0.3,2,Cases,median_ensemble,13068,17727,1,ensemble,2021-04-24,10591323,1
CZ,2021-04-12,0.3,2,Deaths,median_ensemble,458,524,1,ensemble,2021-04-24,10591323,1
CZ,2021-04-12,0.35,1,Cases,median_ensemble,20002,22369,1,ensemble,2021-04-17,10591323,1
CZ,2021-04-12,0.35,1,Deaths,median_ensemble,615,662,1,ensemble,2021-04-17,10591323,1
CZ,2021-04-12,0.35,2,Cases,median_ensemble,14281,17727,1,ensemble,2021-04-24,10591323,1
CZ,2021-04-12,0.35,2,Deaths,median_ensemble,477.5,524,1,ensemble,2021-04-24,10591323,1
CZ,2021-04-12,0.4,1,Cases,median_ensemble,20868,22369,1,ensemble,2021-04-17,10591323,1
CZ,2021-04-12,0.4,1,Deaths,median_ensemble,637.5,662,1,ensemble,2021-04-17,10591323,1
CZ,2021-04-12,0.4,2,Cases,median_ensemble,15383,17727,1,ensemble,2021-04-24,10591323,1
CZ,2021-04-12,0.4,2,Deaths,median_ensemble,495,524,1,ensemble,2021-04-24,10591323,1
CZ,2021-04-12,0.45,1,Cases,median_ensemble,21706,22369,1,ensemble,2021-04-17,10591323,1
CZ,2021-04-12,0.45,1,Deaths,median_ensemble,658,662,1,ensemble,2021-04-17,10591323,1
CZ,2021-04-12,0.45,2,Cases,median_ensemble,16650,17727,1,ensemble,2021-04-24,10591323,1
CZ,2021-04-12,0.45,2,Deaths,median_ensemble,504.5,524,1,ensemble,2021-04-24,10591323,1
CZ,2021-04-12,0.5,1,Cases,median_ensemble,22530,22369,1,ensemble,2021-04-17,10591323,1
CZ,2021-04-12,0.5,1,Deaths,median_ensemble,680,662,1,ensemble,2021-04-17,10591323,1
CZ,2021-04-12,0.5,2,Cases,median_ensemble,17942,17727,1,ensemble,2021-04-24,10591323,1
CZ,2021-04-12,0.5,2,Deaths,median_ensemble,513,524,1,ensemble,2021-04-24,10591323,1
CZ,2021-04-12,0.55,1,Cases,median_ensemble,23355,22369,1,ensemble,2021-04-17,10591323,1
CZ,2021-04-12,0.55,1,Deaths,median_ensemble,699,662,1,ensemble,2021-04-17,10591323,1
CZ,2021-04-12,0.55,2,Cases,median_ensemble,19214,17727,1,ensemble,2021-04-24,10591323,1
CZ,2021-04-12,0.55,2,Deaths,median_ensemble,530,524,1,ensemble,2021-04-24,10591323,1
CZ,2021-04-12,0.6,1,Cases,median_ensemble,24193,22369,1,ensemble,2021-04-17,10591323,1
CZ,2021-04-12,0.6,1,Deaths,median_ensemble,718.5,662,1,ensemble,2021-04-17,10591323,1
CZ,2021-04-12,0.6,2,Cases,median_ensemble,20041,17727,1,ensemble,2021-04-24,10591323,1
CZ,2021-04-12,0.6,2,Deaths,median_ensemble,548.5,524,1,ensemble,2021-04-24,10591323,1
CZ,2021-04-12,0.65,1,Cases,median_ensemble,25058,22369,1,ensemble,2021-04-17,10591323,1
CZ,2021-04-12,0.65,1,Deaths,median_ensemble,740,662,1,ensemble,2021-04-17,10591323,1
CZ,2021-04-12,0.65,2,Cases,median_ensemble,20955,17727,1,ensemble,2021-04-24,10591323,1
CZ,2021-04-12,0.65,2,Deaths,median_ensemble,568.5,524,1,ensemble,2021-04-24,10591323,1
CZ,2021-04-12,0.7,1,Cases,median_ensemble,25971,22369,1,ensemble,2021-04-17,10591323,1
CZ,2021-04-12,0.7,1,Deaths,median_ensemble,763.5,662,1,ensemble,2021-04-17,10591323,1
CZ,2021-04-12,0.7,2,Cases,median_ensemble,21927,17727,1,ensemble,2021-04-24,10591323,1
CZ,2021-04-12,0.7,2,Deaths,median_ensemble,590,524,1,ensemble,2021-04-24,10591323,1
CZ,2021-04-12,0.75,1,Cases,median_ensemble,26694,22369,1,ensemble,2021-04-17,10591323,1
CZ,2021-04-12,0.75,1,Deaths,median_ensemble,789.5,662,1,ensemble,2021-04-17,10591323,1
CZ,2021-04-12,0.75,2,Cases,median_ensemble,23111,17727,1,ensemble,2021-04-24,10591323,1
CZ,2021-04-12,0.75,2,Deaths,median_ensemble,614,524,1,ensemble,2021-04-24,10591323,1
CZ,2021-04-12,0.8,1,Cases,median_ensemble,27874,22369,1,ensemble,2021-04-17,10591323,1
CZ,2021-04-12,0.8,1,Deaths,median_ensemble,820,662,1,ensemble,2021-04-17,10591323,1
CZ,2021-04-12,0.8,2,Cases,median_ensemble,24523,17727,1,ensemble,2021-04-24,10591323,1
CZ,2021-04-12,0.8,2,Deaths,median_ensemble,643,524,1,ensemble,2021-04-24,10591323,1
CZ,2021-04-12,0.85,1,Cases,median_ensemble,29328,22369,1,ensemble,2021-04-17,10591323,1
CZ,2021-04-12,0.85,1,Deaths,median_ensemble,857.5,662,1,ensemble,2021-04-17,10591323,1
CZ,2021-04-12,0.85,2,Cases,median_ensemble,26396,17727,1,ensemble,2021-04-24,10591323,1
CZ,2021-04-12,0.85,2,Deaths,median_ensemble,678,524,1,ensemble,2021-04-24,10591323,1
CZ,2021-04-12,0.9,1,Cases,median_ensemble,30939,22369,1,ensemble,2021-04-17,10591323,1
CZ,2021-04-12,0.9,1,Deaths,median_ensemble,909.5,662,1,ensemble,2021-04-17,10591323,1
CZ,2021-04-12,0.9,2,Cases,median_ensemble,29030,17727,1,ensemble,2021-04-24,10591323,1
CZ,2021-04-12,0.9,2,Deaths,median_ensemble,733,524,1,ensemble,2021-04-24,10591323,1
CZ,2021-04-12,0.95,1,Cases,median_ensemble,33323,22369,1,ensemble,2021-04-17,10591323,1
CZ,2021-04-12,0.95,1,Deaths,median_ensemble,990,662,1,ensemble,2021-04-17,10591323,1
CZ,2021-04-12,0.95,2,Cases,median_ensemble,33552,17727,1,ensemble,2021-04-24,10591323,1
CZ,2021-04-12,0.95,2,Deaths,median_ensemble,828,524,1,ensemble,2021-04-24,10591323,1
CZ,2021-04-12,0.975,1,Cases,median_ensemble,35390,22369,1,ensemble,2021-04-17,10591323,1
CZ,2021-04-12,0.975,1,Deaths,median_ensemble,1064,662,1,ensemble,2021-04-17,10591323,1
CZ,2021-04-12,0.975,2,Cases,median_ensemble,37352,17727,1,ensemble,2021-04-24,10591323,1
CZ,2021-04-12,0.975,2,Deaths,median_ensemble,929.5,524,1,ensemble,2021-04-24,10591323,1
CZ,2021-04-12,0.99,1,Cases,median_ensemble,38155,22369,1,ensemble,2021-04-17,10591323,1
CZ,2021-04-12,0.99,1,Deaths,median_ensemble,1139,662,1,ensemble,2021-04-17,10591323,1
CZ,2021-04-12,0.99,2,Cases,median_ensemble,40318,17727,1,ensemble,2021-04-24,10591323,1
CZ,2021-04-12,0.99,2,Deaths,median_ensemble,1091.5,524,1,ensemble,2021-04-24,10591323,1
DE,2021-04-12,0.01,1,Cases,median_ensemble,92566,142664,1,ensemble,2021-04-17,82695000,1
DE,2021-04-12,0.01,1,Deaths,median_ensemble,832,1598,1,ensemble,2021-04-17,82695000,1
DE,2021-04-12,0.01,2,Cases,median_ensemble,74763,145568,1,ensemble,2021-04-24,82695000,1
DE,2021-04-12,0.01,2,Deaths,median_ensemble,727,1597,1,ensemble,2021-04-24,82695000,1
DE,2021-04-12,0.025,1,Cases,median_ensemble,97795,142664,1,ensemble,2021-04-17,82695000,1
DE,2021-04-12,0.025,1,Deaths,median_ensemble,953,1598,1,ensemble,2021-04-17,82695000,1
DE,2021-04-12,0.025,2,Cases,median_ensemble,80447,145568,1,ensemble,2021-04-24,82695000,1
DE,2021-04-12,0.025,2,Deaths,median_ensemble,901,1597,1,ensemble,2021-04-24,82695000,1
DE,2021-04-12,0.05,1,Cases,median_ensemble,102529,142664,1,ensemble,2021-04-17,82695000,1
DE,2021-04-12,0.05,1,Deaths,median_ensemble,1057,1598,1,ensemble,2021-04-17,82695000,1
DE,2021-04-12,0.05,2,Cases,median_ensemble,85680,145568,1,ensemble,2021-04-24,82695000,1
DE,2021-04-12,0.05,2,Deaths,median_ensemble,964,1597,1,ensemble,2021-04-24,82695000,1
DE,2021-04-12,0.1,1,Cases,median_ensemble,107559,142664,1,ensemble,2021-04-17,82695000,1
DE,2021-04-12,0.1,1,Deaths,median_ensemble,1163,1598,1,ensemble,2021-04-17,82695000,1
DE,2021-04-12,0.1,2,Cases,median_ensemble,92137,145568,1,ensemble,2021-04-24,82695000,1
