location,forecast_date,quantile,horizon,target_type,model,prediction,true_value,availability,model_type,target_end_date,population,period_cat
CZ,2021-04-12,0.01,1,Cases,weighted.median_ensemble,9718.5,22369,1,ensemble,2021-04-17,10591323,1
CZ,2021-04-12,0.01,1,Deaths,weighted.median_ensemble,387,662,1,ensemble,2021-04-17,10591323,1
CZ,2021-04-12,0.01,2,Cases,weighted.median_ensemble,6277.5,17727,1,ensemble,2021-04-24,10591323,1
CZ,2021-04-12,0.01,2,Deaths,weighted.median_ensemble,267,524,1,ensemble,2021-04-24,10591323,1
CZ,2021-04-12,0.01,3,Cases,weighted.median_ensemble,3467.5,14864,1,ensemble,2021-05-01,10591323,1
CZ,2021-04-12,0.01,3,Deaths,weighted.median_ensemble,152.5,396,1,ensemble,2021-05-01,10591323,1
CZ,2021-04-12,0.01,4,Cases,weighted.median_ensemble,1749,11403,1,ensemble,2021-05-08,10591323,1
CZ,2021-04-12,0.01,4,Deaths,weighted.median_ensemble,60,331,1,ensemble,2021-05-08,10591323,1
CZ,2021-04-12,0.025,1,Cases,weighted.median_ensemble,11422.5,22369,1,ensemble,2021-04-17,10591323,1
CZ,2021-04-12,0.025,1,Deaths,weighted.median_ensemble,421,662,1,ensemble,2021-04-17,10591323,1
CZ,2021-04-12,0.025,2,Cases,weighted.median_ensemble,7388.5,17727,1,ensemble,2021-04-24,10591323,1
CZ,2021-04-12,0.025,2,Deaths,weighted.median_ensemble,296.5,524,1,ensemble,2021-04-24,10591323,1
CZ,2021-04-12,0.025,3,Cases,weighted.median_ensemble,3951,14864,1,ensemble,2021-05-01,10591323,1
CZ,2021-04-12,0.025,3,Deaths,weighted.median_ensemble,178.5,396,1,ensemble,2021-05-01,10591323,1
CZ,2021-04-12,0.025,4,Cases,weighted.median_ensemble,2082,11403,1,ensemble,2021-05-08,10591323,1
CZ,2021-04-12,0.025,4,Deaths,weighted.median_ensemble,84,331,1,ensemble,2021-05-08,10591323,1
CZ,2021-04-12,0.05,1,Cases,weighted.median_ensemble,12921,22369,1,ensemble,2021-04-17,10591323,1
CZ,2021-04-12,0.05,1,Deaths,weighted.median_ensemble,451.5,662,1,ensemble,2021-04-17,10591323,1
CZ,2021-04-12,0.05,2,Cases,weighted.median_ensemble,8191.5,17727,1,ensemble,2021-04-24,10591323,1
CZ,2021-04-12,0.05,2,Deaths,weighted.median_ensemble,324,524,1,ensemble,2021-04-24,10591323,1
CZ,2021-04-12,0.05,3,Cases,weighted.median_ensemble,4576.5,14864,1,ensemble,2021-05-01,10591323,1
CZ,2021-04-12,0.05,3,Deaths,weighted.median_ensemble,202.5,396,1,ensemble,2021-05-01,10591323,1
CZ,2021-04-12,0.05,4,Cases,weighted.median_ensemble,2505,11403,1,ensemble,2021-05-08,10591323,1
CZ,2021-04-12,0.05,4,Deaths,weighted.median_ensemble,110,331,1,ensemble,2021-05-08,10591323,1
CZ,2021-04-12,0.1,1,Cases,weighted.median_ensemble,14689.5,22369,1,ensemble,2021-04-17,10591323,1
CZ,2021-04-12,0.1,1,Deaths,weighted.median_ensemble,488.5,662,1,ensemble,2021-04-17,10591323,1
CZ,2021-04-12,0.1,2,Cases,weighted.median_ensemble,9266.5,17727,1,ensemble,2021-04-24,10591323,1
CZ,2021-04-12,0.1,2,Deaths,weighted.median_ensemble,356.5,524,1,ensemble,2021-04-24,10591323,1
CZ,2021-04-12,0.1,3,Cases,weighted.median_ensemble,5525,14864,1,ensemble,2021-05-01,10591323,1
CZ,2021-04-12,0.1,3,Deaths,weighted.median_ensemble,232,396,1,ensemble,2021-05-01,10591323,1
CZ,2021-04-12,0.1,4,Cases,weighted.median_ensemble,3190.5,11403,1,ensemble,2021-05-08,10591323,1
CZ,2021-04-12,0.1,4,Deaths,weighted.median_ensemble,143,331,1,ensemble,2021-05-08,10591323,1
CZ,2021-04-12,0.15,1,Cases,weighted.median_ensemble,15909.5,22369,1,ensemble,2021-04-17,10591323,1
CZ,2021-04-12,0.15,1,Deaths,weighted.median_ensemble,516.5,662,1,ensemble,2021-04-17,10591323,1
CZ,2021-04-12,0.15,2,Cases,weighted.median_ensemble,10191.5,17727,1,ensemble,2021-04-24,10591323,1
CZ,2021-04-12,0.15,2,Deaths,weighted.median_ensemble,384,524,1,ensemble,2021-04-24,10591323,1
CZ,2021-04-12,0.15,3,Cases,weighted.median_ensemble,6312,14864,1,ensemble,2021-05-01,10591323,1
CZ,2021-04-12,0.15,3,Deaths,weighted.median_ensemble,265,396,1,ensemble,2021-05-01,10591323,1
CZ,2021-04-12,0.15,4,Cases,weighted.median_ensemble,3961.5,11403,1,ensemble,2021-05-08,10591323,1
CZ,2021-04-12,0.15,4,Deaths,weighted.median_ensemble,175,331,1,ensemble,2021-05-08,10591323,1
CZ,2021-04-12,0.2,1,Cases,weighted.median_ensemble,16894.5,22369,1,ensemble,2021-04-17,10591323,1
CZ,2021-04-12,0.2,1,Deaths,weighted.median_ensemble,543.5,662,1,ensemble,2021-04-17,10591323,1
CZ,2021-04-12,0.2,2,Cases,weighted.median_ensemble,11057,17727,1,ensemble,2021-04-24,10591323,1
CZ,2021-04-12,0.2,2,Deaths,weighted.median_ensemble,410,524,1,ensemble,2021-04-24,10591323,1
CZ,2021-04-12,0.2,3,Cases,weighted.median_ensemble,7276.5,14864,1,ensemble,2021-05-01,10591323,1
CZ,2021-04-12,0.2,3,Deaths,weighted.median_ensemble,291.5,396,1,ensemble,2021-05-01,10591323,1
CZ,2021-04-12,0.2,4,Cases,weighted.median_ensemble,4700,11403,1,ensemble,2021-05-08,10591323,1
CZ,2021-04-12,0.2,4,Deaths,weighted.median_ensemble,197,331,1,ensemble,2021-05-08,10591323,1
CZ,2021-04-12,0.25,1,Cases,weighted.median_ensemble,17758,22369,1,ensemble,2021-04-17,10591323,1
CZ,2021-04-12,0.25,1,Deaths,weighted.median_ensemble,570.5,662,1,ensemble,2021-04-17,10591323,1
CZ,2021-04-12,0.25,2,Cases,weighted.median_ensemble,12066,17727,1,ensemble,2021-04-24,10591323,1
CZ,2021-04-12,0.25,2,Deaths,weighted.median_ensemble,433,524,1,ensemble,2021-04-24,10591323,1
CZ,2021-04-12,0.25,3,Cases,weighted.median_ensemble,8175.5,14864,1,ensemble,2021-05-01,10591323,1
CZ,2021-04-12,0.25,3,Deaths,weighted.median_ensemble,313.75,396,1,ensemble,2021-05-01,10591323,1
CZ,2021-04-12,0.25,4,Cases,weighted.median_ensemble,5415,11403,1,ensemble,2021-05-08,10591323,1
CZ,2021-04-12,0.25,4,Deaths,weighted.median_ensemble,214.5,331,1,ensemble,2021-05-08,10591323,1
CZ,2021-04-12,0.3,1,Cases,weighted.median_ensemble,18854,22369,1,ensemble,2021-04-17,10591323,1
CZ,2021-04-12,0.3,1,Deaths,weighted.median_ensemble,592,662,1,ensemble,2021-04-17,10591323,1
CZ,2021-04-12,0.3,2,Cases,weighted.median_ensemble,13046.5,17727,1,ensemble,2021-04-24,10591323,1
CZ,2021-04-12,0.3,2,Deaths,weighted.median_ensemble,454.5,524,1,ensemble,2021-04-24,10591323,1
CZ,2021-04-12,0.3,3,Cases,weighted.median_ensemble,9008,14864,1,ensemble,2021-05-01,10591323,1
CZ,2021-04-12,0.3,3,Deaths,weighted.median_ensemble,313.75,396,1,ensemble,2021-05-01,10591323,1
CZ,2021-04-12,0.3,4,Cases,weighted.median_ensemble,6120,11403,1,ensemble,2021-05-08,10591323,1
CZ,2021-04-12,0.3,4,Deaths,weighted.median_ensemble,215,331,1,ensemble,2021-05-08,10591323,1
CZ,2021-04-12,0.35,1,Cases,weighted.median_ensemble,19852,22369,1,ensemble,2021-04-17,10591323,1
CZ,2021-04-12,0.35,1,Deaths,weighted.median_ensemble,615,662,1,ensemble,2021-04-17,10591323,1
CZ,2021-04-12,0.35,2,Cases,weighted.median_ensemble,14082,17727,1,ensemble,2021-04-24,10591323,1
CZ,2021-04-12,0.35,2,Deaths,weighted.median_ensemble,454.5,524,1,ensemble,2021-04-24,10591323,1
CZ,2021-04-12,0.35,3,Cases,weighted.median_ensemble,9897.5,14864,1,ensemble,2021-05-01,10591323,1
CZ,2021-04-12,0.35,3,Deaths,weighted.median_ensemble,327.5,396,1,ensemble,2021-05-01,10591323,1
CZ,2021-04-12,0.35,4,Cases,weighted.median_ensemble,6866.5,11403,1,ensemble,2021-05-08,10591323,1
CZ,2021-04-12,0.35,4,Deaths,weighted.median_ensemble,230,331,1,ensemble,2021-05-08,10591323,1
CZ,2021-04-12,0.4,1,Cases,weighted.median_ensemble,20678.5,22369,1,ensemble,2021-04-17,10591323,1
CZ,2021-04-12,0.4,1,Deaths,weighted.median_ensemble,623,662,1,ensemble,2021-04-17,10591323,1
CZ,2021-04-12,0.4,2,Cases,weighted.median_ensemble,15031,17727,1,ensemble,2021-04-24,10591323,1
CZ,2021-04-12,0.4,2,Deaths,weighted.median_ensemble,468.5,524,1,ensemble,2021-04-24,10591323,1
CZ,2021-04-12,0.4,3,Cases,weighted.median_ensemble,10816.5,14864,1,ensemble,2021-05-01,10591323,1
CZ,2021-04-12,0.4,3,Deaths,weighted.median_ensemble,344,396,1,ensemble,2021-05-01,10591323,1
CZ,2021-04-12,0.4,4,Cases,weighted.median_ensemble,7561.5,11403,1,ensemble,2021-05-08,10591323,1
CZ,2021-04-12,0.4,4,Deaths,weighted.median_ensemble,245,331,1,ensemble,2021-05-08,10591323,1
CZ,2021-04-12,0.45,1,Cases,weighted.median_ensemble,21463.5,22369,1,ensemble,2021-04-17,10591323,1
CZ,2021-04-12,0.45,1,Deaths,weighted.median_ensemble,642.5,662,1,ensemble,2021-04-17,10591323,1
CZ,2021-04-12,0.45,2,Cases,weighted.median_ensemble,16124.5,17727,1,ensemble,2021-04-24,10591323,1
CZ,2021-04-12,0.45,2,Deaths,weighted.median_ensemble,484.5,524,1,ensemble,2021-04-24,10591323,1
CZ,2021-04-12,0.45,3,Cases,weighted.median_ensemble,11780.5,14864,1,ensemble,2021-05-01,10591323,1
CZ,2021-04-12,0.45,3,Deaths,weighted.median_ensemble,358,396,1,ensemble,2021-05-01,10591323,1
CZ,2021-04-12,0.45,4,Cases,weighted.median_ensemble,8418.5,11403,1,ensemble,2021-05-08,10591323,1
